Word,Wordgroup,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30
no,Games and Routines,82.1,81.8,76.2,87.7,86.2,94.4,91.7,97.6,96.3,97.3,96.2,95.1,94.8,98.3,100
cookie,Food and Drink,59,66.7,58.7,82.2,78.7,86.1,81.9,96.5,82.2,96,92.3,93.8,94.8,98.3,100
bath,Games and Routines,43.6,57.6,48.7,67.1,68.1,77.8,83.3,89.4,81.3,89.3,93.6,95.1,91.4,91.7,100
please,Games and Routines,32.1,39.4,40,56.2,70.2,77.8,79.2,88.2,90.7,88,91,95.1,98.3,96.7,100
yes,Games and Routines,37.2,42.4,48.7,63,75.5,76.4,79.2,84.7,91.6,90.7,91,95.1,91.4,95,100
balloon,Toys,59,48.5,71.2,76.7,73.4,86.1,86.1,94.1,86,94.7,89.7,95.1,94.8,96.7,100
bubbles,Toys,42.3,47,56.2,65.8,72.3,77.8,76.4,88.2,84.1,88,87.2,93.8,91.4,91.7,100
cheese,Food and Drink,44.9,50,61.2,68.5,76.6,79.2,81.9,91.8,84.1,92,91,95.1,91.4,95,100
pants,Clothing,19.2,12.1,18.8,43.8,40.4,55.6,58.3,74.1,70.1,80,78.2,85.2,89.7,90,100
sock,Clothing,43.6,50,58.7,71.2,72.3,81.9,80.6,92.9,82.2,92,91,95.1,93.1,95,100
keys,Small Household Items,41,53,48.7,74,73.4,77.8,83.3,91.8,83.2,90.7,92.3,96.3,96.6,96.7,100
door,Furniture and Rooms,28.2,28.8,36.2,52.1,59.6,65.3,76.4,77.6,76.6,90.7,83.3,93.8,91.4,88.3,100
baby,People,66.7,80.3,75,83.6,87.2,90.3,90.3,96.5,90.7,97.3,96.2,92.6,96.6,95,100
ball,Toys,84.6,86.4,87.5,94.5,96.8,98.6,95.8,97.6,91.6,98.7,97.4,98.8,96.6,100,100
go,Action Words,32.1,37.9,40,52.1,70.2,75,70.8,88.2,81.3,88,89.7,88.9,86.2,90,100
cold,Descriptive Words,24.4,24.2,30,53.4,55.3,68.1,73.6,82.4,73.8,85.3,80.8,90.1,89.7,93.3,100
nose,Body Parts,55.1,56.1,62.5,80.8,81.9,87.5,88.9,95.3,85,96,91,98.8,96.6,96.7,100
light,Small Household Items,35.9,30.3,46.2,47.9,68.1,68.1,81.9,83.5,74.8,86.7,84.6,90.1,94.8,90,100
water (item),Outside Things,34.6,34.8,43.7,65.8,71.3,73.6,76.4,85.9,81.3,90.7,83.3,96.3,91.4,91.7,100
eat,Action Words,34.6,25.8,40,60.3,54.3,72.2,73.6,83.5,79.4,90.7,85.9,93.8,91.4,95,100
juice,Food and Drink,59,51.5,61.2,78.1,81.9,87.5,88.9,96.5,87.9,90.7,96.2,97.5,94.8,95,100
milk,Food and Drink,42.3,43.9,46.2,72.6,66,75,77.8,90.6,81.3,92,92.3,96.3,96.6,98.3,100
arm,Body Parts,12.8,24.2,22.5,42.5,46.8,56.9,68.1,81.2,68.2,76,79.5,86.4,91.4,90,100
foot,Body Parts,26.9,34.8,41.2,58.9,62.8,70.8,69.4,87.1,78.5,90.7,85.9,96.3,91.4,93.3,100
soap,Small Household Items,15.4,15.2,21.3,43.8,51.1,59.7,59.7,71.8,73.8,81.3,71.8,88.9,82.8,88.3,100
grandma,People,42.3,48.5,56.2,65.8,70.2,72.2,79.2,94.1,86,92,92.3,95.1,93.1,95,98.6
thank you,Games and Routines,44.9,48.5,50,60.3,66,77.8,79.2,82.4,85,88,92.3,96.3,96.6,95,98.6
car,Vehicles (Real or Toy),52.6,56.1,62.5,83.6,79.8,84.7,88.9,94.1,84.1,94.7,89.7,95.1,96.6,98.3,98.6
apple,Food and Drink,38.5,51.5,61.2,74,74.5,79.2,88.9,90.6,84.1,93.3,89.7,97.5,94.8,98.3,98.6
wet,Descriptive Words,16.7,13.6,22.5,39.7,44.7,54.2,62.5,69.4,67.3,77.3,79.5,90.1,87.9,86.7,98.6
telephone,Small Household Items,26.9,18.2,26.3,46.6,53.2,61.1,70.8,76.5,70.1,88,83.3,88.9,91.4,93.3,98.6
bed,Furniture and Rooms,15.4,21.2,28.8,49.3,56.4,61.1,68.1,83.5,77.6,89.3,82.1,93.8,94.8,91.7,98.6
daddy,People,97.4,98.5,96.2,97.3,98.9,97.2,94.4,98.8,96.3,98.7,98.7,98.8,98.3,100,98.6
horse,Animals (Real or Toy),30.8,34.8,41.2,57.5,56.4,69.4,70.8,81.2,82.2,85.3,91,92.6,93.1,93.3,98.6
walk,Action Words,15.4,15.2,30,39.7,36.2,50,59.7,69.4,62.6,73.3,71.8,85.2,79.3,88.3,98.6
hot,Descriptive Words,62.8,71.2,70,76.7,81.9,90.3,93.1,90.6,87.9,89.3,96.2,95.1,93.1,96.7,98.6
eye,Body Parts,57.7,71.2,73.7,86.3,85.1,91.7,93.1,96.5,91.6,97.3,94.9,98.8,96.6,100,98.6
hair,Body Parts,32.1,28.8,35,61.6,69.1,81.9,79.2,94.1,80.4,88,87.2,95.1,93.1,95,98.6
toe,Body Parts,24.4,34.8,36.2,57.5,50,62.5,66.7,80,74.8,78.7,79.5,92.6,89.7,86.7,98.6
cup,Small Household Items,32.1,33.3,45,63,68.1,66.7,80.6,87.1,79.4,90.7,89.7,95.1,93.1,88.3,98.6
pillow,Small Household Items,16.7,16.7,22.5,38.4,47.9,50,56.9,81.2,58.9,81.3,75.6,82.7,87.9,90,98.6
bathtub,Furniture and Rooms,15.4,21.2,28.8,37,44.7,47.2,59.7,71.8,63.6,74.7,80.8,84,81,83.3,98.6
outside,Places to Go,39.7,37.9,40,65.8,66,69.4,76.4,87.1,72.9,86.7,87.2,91.4,86.2,90,98.6
bird,Animals (Real or Toy),56.4,65.2,67.5,79.5,80.9,81.9,87.5,89.4,89.7,96,94.9,93.8,96.6,96.7,98.6
book,Toys,57.7,63.6,66.2,91.8,81.9,87.5,80.6,96.5,89.7,93.3,91,96.3,96.6,93.3,98.6
fall,Action Words,16.7,4.5,13.8,30.1,29.8,47.2,55.6,70.6,60.7,80,80.8,85.2,87.9,83.3,98.6
banana,Food and Drink,47.4,65.2,65,69.9,73.4,87.5,87.5,91.8,75.7,90.7,85.9,97.5,96.6,95,98.6
hug,Action Words,21.8,15.2,23.8,38.4,40.4,59.7,58.3,76.5,64.5,81.3,79.5,86.4,84.5,91.7,98.6
kiss,Action Words,23.1,22.7,25,47.9,46.8,58.3,66.7,81.2,75.7,85.3,87.2,87.7,86.2,93.3,98.6
cracker,Food and Drink,43.6,51.5,46.2,67.1,66,76.4,73.6,90.6,77.6,85.3,83.3,88.9,94.8,88.3,98.6
ice cream,Food and Drink,15.4,19.7,28.8,46.6,44.7,43.1,61.1,84.7,72.9,84,84.6,91.4,91.4,91.7,98.6
pizza,Food and Drink,11.5,18.2,18.8,31.5,45.7,45.8,62.5,70.6,68.2,76,78.2,90.1,89.7,93.3,98.6
shoe,Clothing,59,72.7,82.5,89,89.4,93.1,94.4,97.6,90.7,97.3,96.2,97.5,96.6,100,98.6
ear,Body Parts,38.5,50,53.7,75.3,70.2,79.2,83.3,94.1,80.4,92,91,97.5,89.7,96.7,98.6
toothbrush,Small Household Items,17.9,16.7,28.8,39.7,53.2,56.9,63.9,77.6,72,78.7,78.2,87.7,91.4,90,98.6
TV,Furniture and Rooms,17.9,25.8,25,54.8,52.1,65.3,65.3,69.4,74.8,88,82.1,88.9,89.7,91.7,98.6
mommy,People,94.9,98.5,96.2,94.5,97.9,98.6,95.8,99.8,99.1,98.7,98.7,98.8,98.3,100,98.6
bye,Games and Routines,85.9,90.9,86.2,86.3,91.5,91.7,90.3,97.6,93.5,97.3,97.4,93.8,98.3,98.3,98.6
bicycle,Vehicles (Real or Toy),26.9,22.7,32.5,52.1,51.1,59.7,73.6,80,71,80,83.3,90.1,91.4,88.3,98.6
truck,Vehicles (Real or Toy),28.2,36.4,53.7,61.6,72.3,73.6,84.7,89.4,83.2,88,92.3,96.3,91.4,96.7,98.6
dirty,Descriptive Words,21.8,16.7,27.5,50.7,51.1,69.4,66.7,82.4,76.6,82.7,83.3,90.1,89.7,90,98.6
kitty,Animals (Real or Toy),62.8,60.6,61.2,82.2,75.5,84.7,81.9,90.6,86,94.7,91,91.4,93.1,96.7,97.1
airplane,Vehicles (Real or Toy),38.5,39.4,47.5,54.8,68.1,77.8,77.8,87.1,77.6,89.3,91,96.3,93.1,95,97.1
love,Action Words,17.9,13.6,20,28.8,34,45.8,47.2,63.5,60.7,76,65.4,66.7,81,85,97.1
wash,Action Words,11.5,6.1,10,19.2,35.1,40.3,52.8,62.4,63.6,65.3,71.8,70.4,74.1,78.3,97.1
button,Clothing,21.8,19.7,37.5,46.6,51.1,54.2,61.1,78.8,65.4,74.7,76.9,76.5,84.5,80,97.1
blanket,Small Household Items,28.2,25.8,37.5,50.7,58.5,68.1,66.7,87.1,75.7,90.7,87.2,90.1,91.4,95,97.1
paper,Small Household Items,15.4,12.1,18.8,39.7,38.3,51.4,55.6,70.6,65.4,74.7,79.5,81.5,86.2,91.7,97.1
flower,Outside Things,33.3,37.9,48.7,54.8,63.8,66.7,69.4,87.1,77.6,85.3,80.8,92.6,87.9,91.7,97.1
night night,Games and Routines,51.3,63.6,52.5,65.8,78.7,88.9,79.2,94.1,78.5,92,91,91.4,93.1,93.3,97.1
train,Vehicles (Real or Toy),14.1,18.2,26.3,38.4,53.2,58.3,65.3,74.1,72,84,80.8,92.6,93.1,85,97.1
toy,Toys,26.9,19.7,23.8,50.7,53.2,59.7,59.7,71.8,73.8,84,84.6,84,87.9,96.7,97.1
big,Descriptive Words,16.7,12.1,17.5,35.6,45.7,56.9,68.1,71.8,66.4,81.3,83.3,85.2,86.2,81.7,97.1
buttocks,Body Parts,17.9,22.7,25,45.2,46.8,58.3,59.7,72.9,69.2,74.7,80.8,86.4,84.5,86.7,97.1
bowl,Small Household Items,12.8,7.6,23.8,35.6,40.4,50,51.4,64.7,63.6,78.7,70.5,84,84.5,81.7,97.1
chair,Furniture and Rooms,23.1,25.8,40,50.7,55.3,68.1,69.4,83.5,77.6,90.7,84.6,93.8,93.1,90,97.1
kitchen,Furniture and Rooms,11.5,4.5,10,23.3,24.5,36.1,40.3,62.4,54.2,64,73.1,75.3,86.2,86.7,97.1
dog,Animals (Real or Toy),71.8,81.8,78.7,82.2,87.2,93.1,88.9,95.3,91.6,97.4,99.6,96.3,98.3,100,97.1
water (food),Food and Drink,34.6,39.4,35,60.3,68.1,70.8,75,84.7,82.2,88,83.3,97.5,91.4,88.3,97.1
broken,Descriptive Words,9,4.5,8.8,30.1,37.2,48.6,54.2,70.6,67.3,77.3,79.5,86.4,77.6,85,97.1
belly button,Body Parts,37.2,36.4,36.2,54.8,62.8,66.7,61.1,75.3,70.1,81.3,80.8,86.4,82.8,86.7,97.1
spoon,Small Household Items,25.6,31.8,46.2,57.5,66,72.2,77.8,87.1,76.6,90.7,83.3,96.3,91.4,91.7,97.1
moo,Sound Effects and Animal Sounds,59,60.6,63.7,65.8,78.7,76.4,81.9,92.9,87.9,93.3,92.3,91.4,93.1,90,97.1
crayon,Toys,12.8,13.6,18.8,32.9,40.4,50,50,60,66.4,72,71.8,81.5,82.8,83.3,97.1
grapes,Food and Drink,20.5,19.7,21.3,42.5,47.9,52.8,69.4,77.6,65.4,73.3,75.6,88.9,84.5,90,97.1
shirt,Clothing,17.9,15.2,26.3,45.2,45.7,55.6,63.9,81.2,67.3,76,82.1,86.4,84.5,88.3,97.1
head,Body Parts,16.7,15.2,22.5,46.6,42.6,56.9,58.3,75.3,67.3,77.3,78.2,84,86.2,88.3,97.1
mouth,Body Parts,26.9,33.3,41.2,67.1,62.8,63.9,70.8,87.1,77.6,84,84.6,90.1,89.7,91.7,97.1
tummy,Body Parts,23.1,16.7,22.5,47.9,55.3,51.4,68.1,81.2,74.8,77.3,83.3,84,87.9,91.7,97.1
more,Quantifiers and Articles,32.1,28.8,41.2,58.9,56.4,65.3,73.6,82.4,74.8,78.7,84.6,92.6,93.1,80,97.1
meow,Sound Effects and Animal Sounds,62.8,48.5,67.5,68.5,75.5,84.7,84.7,92.9,90.7,93.3,94.9,96.3,94.8,95,97.1
bear,Animals (Real or Toy),42.3,47,48.7,60.3,66,72.2,73.6,85.9,75.7,81.3,84.6,87.7,93.1,86.7,95.7
duck,Animals (Real or Toy),52.6,59.1,57.5,71.2,77.7,80.6,83.3,88.2,87.9,94.7,97.4,96.3,98.3,91.7,95.7
cry,Action Words,14.1,13.6,16.3,34.2,42.6,47.2,58.3,71.8,67.3,86.7,80.8,82.7,84.5,81.7,95.7
drink (food),Food and Drink,23.1,27.3,21.3,45.2,44.7,55.6,69.4,76.5,72.9,80,82.1,80.2,82.8,85,95.7
spaghetti,Food and Drink,9,9.1,17.5,23.3,27.7,34.7,43.1,56.5,59.8,65.3,69.2,71.6,75.9,83.3,95.7
hand,Body Parts,17.9,22.7,27.5,54.8,56.4,66.7,65.3,81.2,71,86.7,85.9,88.9,89.7,91.7,95.7
money,Small Household Items,15.4,12.1,16.3,42.5,44.7,43.1,54.2,76.5,63.6,78.7,78.2,82.7,87.9,90,95.7
me,Pronouns,21.8,25.8,21.3,43.8,50,54.2,62.5,71.8,75.7,77.3,67.9,87.7,86.2,78.3,95.7
potty,Furniture and Rooms,20.5,16.7,28.8,47.9,46.8,52.8,61.1,75.3,76.6,80,82.1,82.7,86.2,93.3,95.7
window,Furniture and Rooms,11.5,10.6,15,30.1,36.2,41.7,44.4,63.5,53.3,74.7,69.2,80.2,84.5,88.3,95.7
child's name,People,32.1,40.9,42.5,56.2,55.3,68.1,66.7,78.8,72.9,84,85.9,93.8,93.1,96.7,95.7
hi,Games and Routines,79.5,86.4,80,86.3,91.5,94.4,93.1,96.5,93.5,98.7,97.4,98.8,96.6,95,95.7
look,Action Words,14.1,4.5,10,24.7,17,36.1,31.9,52.9,52.3,61.3,73.1,71.6,77.6,86.7,95.7
leg,Body Parts,11.5,7.6,17.5,37,36.2,45.8,54.2,69.4,62.6,74.7,79.5,82.7,79.3,81.7,95.7
work (place),Places to Go,11.5,9.1,16.3,24.7,37.2,38.9,55.6,67.1,60.7,78.7,78.2,88.9,81,78.3,95.7
fish (animal),Animals (Real or Toy),43.6,36.4,50,63,68.1,68.1,73.6,90.6,80.4,92,88.5,91.4,93.1,96.7,95.7
puppy,Animals (Real or Toy),24.4,24.2,37.5,50.7,50,63.9,63.9,78.8,79.4,78.7,83.3,75.3,77.6,85,95.7
boat,Vehicles (Real or Toy),41,34.8,50,64.4,69.1,65.3,77.8,88.2,82.2,89.3,87.2,95.1,94.8,91.7,95.7
cake,Food and Drink,14.1,15.2,21.3,35.6,38.3,44.4,58.3,70.6,72.9,76,76.9,86.4,84.5,88.3,95.7
open,Action Words,23.1,18.2,25,35.6,44.7,50,63.9,74.1,67.3,77.3,83.3,88.9,86.2,88.3,95.7
all gone,Descriptive Words,39.7,48.5,46.2,72.6,76.6,77.8,81.9,90.6,82.2,88,88.5,86.4,89.7,90,95.7
diaper,Clothing,32.1,33.3,37.5,58.9,60.6,75,70.8,84.7,79.4,92,84.6,86.4,93.1,95,95.7
knee,Body Parts,16.7,15.2,20,37,44.7,51.4,62.5,74.1,67.3,81.3,78.2,80.2,81,81.7,95.7
tooth,Body Parts,23.1,33.3,37.5,56.2,57.4,59.7,66.7,81.2,72,78.7,80.8,85.2,84.5,91.7,95.7
bathroom,Furniture and Rooms,12.8,3,12.5,28.8,31.9,38.9,50,58.8,51.4,72,71.8,76.5,86.2,85,95.7
elephant,Animals (Real or Toy),14.1,19.7,25,35.6,35.1,47.2,50,65.9,61.7,66.7,76.9,81.5,86.2,86.7,95.7
egg,Food and Drink,28.2,15.2,27.5,45.2,48.9,54.2,56.9,74.1,66.4,81.3,80.8,90.1,81,83.3,95.7
play,Action Words,14.1,7.6,12.5,31.5,31.9,37.5,47.2,71.8,63.6,73.3,80.8,84,81,91.7,95.7
orange (food),Food and Drink,14.1,15.2,25,43.8,40.4,48.6,61.1,67.1,56.1,68,79.5,88.9,86.2,90,95.7
bottle,Small Household Items,61.5,53,56.2,74,76.6,79.2,86.1,83.5,81.3,88,88.5,90.1,93.1,90,95.7
fork,Small Household Items,14.1,16.7,23.8,41.1,48.9,55.6,61.1,78.8,67.3,77.3,75.6,93.8,91.4,86.7,95.7
table,Furniture and Rooms,9,6.1,15,28.8,29.8,37.5,45.8,62.4,57.9,73.3,71.8,76.5,81,85,95.7
tree,Outside Things,28.2,22.7,38.7,50.7,68.1,65.3,63.9,84.7,75.7,85.3,80.8,91.4,82.8,88.3,95.7
cow,Animals (Real or Toy),29.5,30.3,43.7,53.4,60.6,65.3,70.8,82.4,78.5,85.3,87.2,87.7,93.1,88.3,94.3
shh,Games and Routines,37.2,53,48.7,61.6,54.3,76.4,68.1,80,76.6,85.3,91,86.4,89.7,93.3,94.3
drink(action),Action Words,25.6,19.7,21.3,46.6,47.9,52.8,68.1,74.1,72.9,78.7,80.8,80.2,87.9,88.3,94.3
chicken(food),Food and Drink,16.7,13.6,20,37,43.6,48.6,54.2,60,64.5,74.7,74.4,88.9,86.2,91.7,94.3
french fries,Food and Drink,12.8,16.7,18.8,42.5,42.6,59.7,55.6,71.8,64.5,70.7,82.1,90.1,79.3,96.7,94.3
sandwich,Food and Drink,12.8,6.1,7.5,26,21.3,31.9,40.3,52.9,53.3,64,61.5,75.3,86.2,88.3,94.3
broom,Small Household Items,11.5,16.7,16.3,35.6,36.2,51.4,44.4,62.4,62.6,68,70.5,80.2,82.8,76.7,94.3
rain,Outside Things,15.4,13.6,23.8,43.8,54.3,48.6,65.3,76.5,61.7,81.3,75.6,93.8,87.9,88.3,94.3
swing (item),Outside Things,23.1,21.2,30,43.8,50,58.3,62.5,80,67.3,86.7,76.9,87.7,86.2,88.3,94.3
home,Places to Go,24.4,28.8,32.5,41.1,47.9,51.4,59.7,77.6,72.9,82.7,83.3,86.4,89.7,88.3,94.3
bus,Vehicles (Real or Toy),23.1,18.2,26.3,47.9,48.9,50,70.8,80,69.2,76,78.2,91.4,86.2,88.3,94.3
candy,Food and Drink,21.8,13.6,23.8,38.4,40.4,43.1,58.3,70.6,63.6,80,79.5,87.7,86.2,88.3,94.3
read,Action Words,15.4,18.2,16.3,26,39.4,44.4,52.8,71.8,64.5,73.3,76.9,82.7,82.8,86.7,94.3
sleep,Action Words,11.5,7.6,13.8,28.8,33,38.9,52.8,72.9,61.7,81.3,74.4,86.4,84.5,88.3,94.3
pop corn,Food and Drink,14.1,13.6,21.3,26,27.7,44.4,47.2,54.1,57,64,73.1,79,79.3,93.3,94.3
towel,Small Household Items,12.8,9.1,23.8,31.5,35.1,41.7,56.9,67.1,66.4,76,70.5,75.3,84.5,80,94.3
boy,People,15.4,18.2,27.5,38.4,51.1,50,51.4,67.1,70.1,66.7,80.8,86.4,77.6,83.3,94.3
go potty,Games and Routines,15.4,16.7,18.8,28.8,34,44.4,54.2,65.9,68.2,73.3,74.4,82.7,84.5,86.7,94.3
teddy bear,Animals (Real or Toy),23.1,21.2,25,37,41.5,52.8,52.8,71.8,58.9,72,69.2,74.1,82.8,91.7,94.3
toast,Food and Drink,23.1,22.7,26.3,41.1,45.7,50,52.8,71.8,59.8,70.7,75.6,90.1,86.2,83.3,94.3
finger,Body Parts,15.4,13.6,22.5,42.5,39.4,51.4,52.8,76.5,72,78.7,83.3,85.2,84.5,88.3,94.3
picture,Small Household Items,12.8,6.1,17.5,34.2,25.5,37.5,41.7,54.1,54.2,68,66.7,77.8,77.6,83.3,94.3
grass,Outside Things,10.3,9.1,16.3,27.4,35.1,45.8,50,64.7,59.8,72,73.1,76.5,82.8,80,94.3
street,Outside Things,7.7,1.5,8.8,19.2,19.1,27.8,34.7,49.4,48.6,60,61.5,67.9,67.2,81.7,94.3
uh oh,Sound Effects and Animal Sounds,85.9,80.3,80,90.4,88.3,93.1,91.7,95.3,93.5,94.7,93.6,95.1,94.8,95,94.3
stroller,Vehicles (Real or Toy),15.4,6.1,15,27.4,33,37.5,37.5,55.3,61.7,65.3,59,67.9,70.7,68.3,94.3
block,Toys,21.8,27.3,33.7,45.2,53.2,54.2,65.3,71.8,64.5,73.3,74.4,91.4,79.3,80,94.3
pen,Toys,16.7,12.1,21.3,35.6,35.1,50,56.9,69.4,55.1,68,70.5,79,79.3,85,94.3
cereal,Food and Drink,16.7,16.7,21.3,41.1,40.4,48.6,51.4,74.1,68.2,80,79.5,80.2,86.2,91.7,94.3
ice,Food and Drink,23.1,13.6,27.5,41.1,40.4,47.2,54.2,70.6,63.6,77.3,70.5,80.2,77.6,88.3,94.3
stop,Action Words,12.8,13.6,16.3,28.8,34,45.8,47.2,60,61.7,77.3,70.5,74.1,74.1,86.7,94.3
hat,Clothing,32.1,40.9,53.7,69.9,69.1,72.2,80.6,90.6,77.6,93.3,89.7,91.4,93.1,93.3,94.3
bedroom,Furniture and Rooms,9,3,8.8,17.8,14.9,27.8,33.3,45.9,41.1,52,56.4,67.9,74.1,71.7,94.3
rock,Outside Things,24.4,30.3,32.5,45.2,47.9,55.6,68.1,83.5,66.4,72,75.6,90.1,87.9,88.3,94.3
house,Places to Go,11.5,16.7,21.3,34.2,39.4,44.4,54.2,71.8,69.2,74.7,74.4,85.2,75.9,88.3,94.3
bunny,Animals (Real or Toy),30.8,30.3,40,53.4,68.1,69.4,65.3,90.6,77.6,88,82.1,86.4,89.7,95,92.9
pig,Animals (Real or Toy),25.6,24.2,28.8,50.7,60.6,58.3,58.3,78.8,78.5,85.3,79.5,85.2,87.9,93.3,92.9
bite,Action Words,26.9,24.2,26.3,54.8,41.5,55.6,65.3,74.1,69.2,84,78.2,85.2,77.6,85,92.9
bread,Food and Drink,15.4,10.6,25,39.7,47.9,51.4,59.7,68.2,70.1,80,78.2,88.9,86.2,93.3,92.9
hit,Action Words,9,1.5,5,19.2,17,34.7,48.6,60,52.3,62.7,66.7,76.5,81,75,92.9
jump,Action Words,9,10.6,12.5,31.5,35.1,43.1,48.6,65.9,58.9,70.7,73.1,76.5,77.6,83.3,92.9
swing(action),Action Words,17.9,13.6,20,38.4,35.1,48.6,56.9,74.1,64.5,73.3,75.6,77.8,79.3,81.7,92.9
face,Body Parts,12.8,6.1,13.8,39.7,26.6,45.8,44.4,61.2,57,54.7,75.6,79,81,83.3,92.9
tongue,Body Parts,14.1,13.6,23.8,30.1,33,37.5,50,58.8,52.3,64,69.2,80.2,74.1,78.3,92.9
yucky,Descriptive Words,26.9,27.3,40,39.7,46.8,61.1,55.6,65.9,63.6,66.7,69.2,79,79.3,85,92.9
girl,People,14.1,19.7,18.8,32.9,39.4,43.1,51.4,57.6,55.1,60,71.8,79,63.8,76.7,92.9
bug,Animals (Real or Toy),16.7,19.7,40,53.4,52.1,55.6,61.1,77.6,73.8,78.7,84.6,87.7,87.9,88.3,92.9
peanut butter,Food and Drink,10.3,7.6,15,24.7,20.2,37.5,44.4,51.8,54.2,69.3,64.1,82.7,81,81.7,92.9
owie,Body Parts,39.7,50,50,69.9,74.5,76.4,77.8,94.1,82.2,89.3,91,96.3,96.6,88.3,92.9
napkin,Small Household Items,9,4.5,12.5,16.4,25.5,33.3,47.2,60,57.9,68,69.2,77.8,79.3,75,92.9
you,Pronouns,11.5,12.1,17.5,20.5,25.5,30.6,44.4,50.6,51.4,76,61.5,79,79.3,73.3,92.9
sun,Outside Things,12.8,10.6,15,32.9,33,47.2,48.6,57.6,58.9,74.7,70.5,84,79.3,85,92.9
ouch,Sound Effects and Animal Sounds,56.4,50,56.2,67.1,64.9,81.9,80.6,89.4,84.1,86.7,85.9,87.7,91.4,90,92.9
cat,Animals (Real or Toy),46.2,48.5,51.2,67.1,74.5,84.7,81.9,88.2,81.3,84,96.2,90.1,91.4,96.7,92.9
nap,Games and Routines,14.1,9.1,18.8,32.9,37.2,54.2,54.2,62.4,66.4,81.3,79.5,84,89.7,83.3,92.9
peekaboo,Games and Routines,46.2,56.1,43.7,54.8,60.6,70.8,66.7,88.2,76.6,92,84.6,87.7,84.5,90,92.9
break,Action Words,9,3,6.2,24.7,24.5,33.3,43.1,64.7,47.7,62.7,73.1,72.8,72.4,81.7,92.9
run,Action Words,11.5,10.6,13.8,19.2,33,38.9,45.8,64.7,56.1,68,71.8,75.3,79.3,81.7,92.9
raisin,Food and Drink,14.1,15.2,25,35.6,40.4,47.2,54.2,58.8,60.7,72,74.4,86.4,82.8,90,92.9
grandpa,People,42.3,47,56.2,60.3,71.3,62.5,73.6,84.7,80.4,85.3,85.9,91.4,84.5,91.7,92.9
blow,Action Words,10.3,4.5,10,31.5,26.6,34.7,44.4,52.9,54.2,64,70.5,72.8,74.1,70,92.9
hold,Action Words,12.8,3,7.5,21.9,14.9,22.2,43.1,51.8,42.1,53.3,71.8,67.9,70.7,73.3,92.9
sit,Action Words,16.7,18.2,26.3,52.1,51.1,51.4,61.1,77.6,68.2,81.3,76.9,81.5,86.2,85,92.9
clean (desc),Descriptive Words,9,9.1,7.5,26,31.9,41.7,44.4,55.3,57,65.3,74.4,77.8,79.3,80,92.9
good,Descriptive Words,14.1,18.2,16.3,27.4,36.2,40.3,55.6,51.8,58.9,68,76.9,76.5,72.4,86.7,92.9
heavy,Descriptive Words,9,3,6.2,19.2,23.4,30.6,43.1,56.5,46.7,62.7,62.8,71.6,72.4,78.3,92.9
brush,Small Household Items,16.7,19.7,31.3,37,47.9,47.2,56.9,76.5,68.2,78.7,70.5,81.5,84.5,80,92.9
store,Places to Go,11.5,6.1,16.3,28.8,37.2,45.8,52.8,69.4,62.6,70.7,82.1,81.5,86.2,83.3,92.9
doctor,People,12.8,4.5,11.3,27.4,30.9,36.1,41.7,51.8,53.3,58.7,66.7,75.3,72.4,78.3,91.4
present,Toys,10.3,4.5,7.5,16.4,20.2,22.2,43.1,50.6,53.3,62.7,59,71.6,72.4,80,91.4
hungry,Descriptive Words,14.1,3,13.8,21.9,25.5,33.3,37.5,52.9,44.9,60,66.7,75.3,69,80,91.4
watch (item),Small Household Items,15.4,10.6,25,39.7,34,40.3,52.8,64.7,57,70.7,66.7,76.5,79.3,85,91.4
chicken(anml),Animals (Real or Toy),14.1,13.6,21.3,31.5,39.4,48.6,54.2,65.9,61.7,64,73.1,84,84.5,88.3,91.4
dinner,Games and Routines,14.1,6.1,12.5,20.5,28.7,41.7,51.4,56.5,56.1,66.7,69.2,76.5,74.1,78.3,91.4
monkey,Animals (Real or Toy),17.9,21.2,22.5,46.6,46.8,51.4,56.9,75.3,68.2,81.3,83.3,81.5,93.1,86.7,91.4
soup,Food and Drink,14.1,7.6,12.5,20.5,37.2,41.7,48.6,65.9,58.9,58.7,67.9,75.3,69,78.3,91.4
little,Descriptive Words,6.4,4.5,5,13.7,18.1,19.4,45.8,45.9,45.8,57.3,65.4,71.6,60.3,73.3,91.4
medicine,Small Household Items,11.5,6.1,10,28.8,26.6,33.3,44.4,61.2,57,65.3,70.5,75.3,84.5,78.3,91.4
tape,Small Household Items,9,4.5,11.3,17.8,17,29.2,33.3,48.2,41.1,57.3,59,69.1,58.6,70,91.4
what,Question Words,20.5,12.1,21.3,30.1,27.7,31.9,50,58.8,51.4,56,70.5,79,69,75,91.4
clap,Action Words,7.7,10.6,15,30.1,31.9,31.9,48.6,54.1,57.9,62.7,62.8,72.8,69,75,91.4
dance,Action Words,11.5,10.6,16.3,30.1,26.6,34.7,52.8,55.3,57.9,64,65.4,72.8,77.6,75,91.4
pencil,Toys,12.8,3,10,31.5,24.5,40.3,43.1,48.2,47.7,64,65.4,72.8,72.4,78.3,91.4
help,Action Words,14.1,6.1,13.8,37,28.7,34.7,50,63.5,57.9,77.3,73.1,86.4,86.2,88.3,91.4
