Word,Wordgroup,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30
donut,Food and Drink,6.4,6.1,11.3,11,18.1,22.2,34.7,38.8,33.6,49.3,55.1,59.3,63.8,61.7,74.3
washer,Furniture and Rooms,1.3,3,3.7,6.8,7.4,19.4,19.4,25.9,23.4,33.3,38.5,49.4,51.7,51.7,74.3
flag,Outside Things,9,7.6,7.5,16.4,13.8,29.2,25,37.6,29.9,46.7,56.4,50.6,48.3,56.7,74.3
rocking chair,Furniture and Rooms,6.4,7.6,11.3,16.4,26.6,27.8,38.9,36.5,41.1,50.7,50,64.2,63.8,56.7,74.3
don't,Helping Verbs,12.8,6.1,10,15.1,17,30.6,34.7,48.2,43.9,53.3,61.5,66.7,67.2,68.3,74.3
cloud,Outside Things,11.5,4.5,12.5,13.7,25.5,31.9,33.3,47.1,39.3,41.3,47.4,64.2,65.5,58.3,74.3
movie,Places to Go,6.4,0,2.5,2.7,5.3,15.3,20.8,29.4,20.6,28,32.1,48.1,41.4,51.7,74.3
fireman,People,6.4,1.5,2.5,4.1,5.3,11.1,18.1,24.7,23.4,30.7,43.6,54.3,48.3,55,74.3
patty cake,Games and Routines,16.7,19.7,26.3,27.4,29.8,43.1,40.3,57.6,48.6,54.7,61.5,65.4,62.1,70,74.3
penny,Small Household Items,5.1,3,11.3,16.4,18.1,27.8,37.5,49.4,48.6,54.7,57.7,63,55.2,68.3,74.3
hello,Games and Routines,37.2,27.3,36.2,43.8,48.9,51.4,55.6,60,58.9,66.7,69.2,71.6,65.5,75,72.9
lick,Action Words,3.8,1.5,2.5,5.5,3.2,15.3,18.1,32.9,26.2,28,38.5,53.1,53.4,56.7,72.9
new,Descriptive Words,5.1,0,3.7,6.8,8.5,13.9,18.1,31.8,28,38.7,42.3,48.1,55.2,50,72.9
ladder,Outside Things,5.1,1.5,5,9.6,10.6,27.8,22.2,35.3,30.8,41.3,50,65.4,53.4,58.3,72.9
play dough,Toys,6.4,0,7.5,5.5,14.9,18.1,20.8,25.9,26.2,41.3,37.2,59.3,51.7,56.7,72.9
